service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
120_20251214,1,1,1,1,1,1,0,20251214,20261212
121_20251214,1,1,1,1,1,1,1,20251214,20261212
122_20251214,1,1,1,1,1,1,1,20251214,20261212
123_20251214,1,1,1,1,1,1,0,20251214,20261212
124_20251214,1,1,1,1,1,1,1,20251214,20261212
125_20251214,1,1,1,1,1,1,0,20251214,20261212
126_20251214,1,1,1,1,1,0,1,20251214,20261212
127_20251214,1,1,1,1,1,1,1,20251214,20261212
128_20251214,1,1,1,1,1,1,0,20251214,20251224
128_20251226,1,1,1,0,1,1,0,20251226,20251231
128_20260102,1,1,1,1,1,1,0,20260102,20261212
129_20251214,1,1,1,1,1,0,1,20251214,20251223
129_20251225,1,1,0,1,1,0,1,20251225,20251230
129_20260101,1,1,1,1,1,0,1,20260101,20261212
130_20251214,1,1,1,1,1,1,1,20251214,20251224
130_20251226,1,1,1,0,1,1,1,20251226,20251231
130_20260102,1,1,1,1,1,1,1,20260102,20261212
131_20251214,1,1,1,1,1,1,1,20251214,20251224
131_20251226,1,1,1,0,1,1,1,20251226,20251231
131_20260102,1,1,1,1,1,1,1,20260102,20261212
132_20251214,1,1,1,1,1,1,1,20251214,20261212
133_20251214,1,1,1,1,1,1,1,20251214,20261212
134_20251214,1,1,1,1,1,1,1,20251214,20261212
135_20251214,1,1,1,1,1,0,1,20251214,20261212
136_20251214,1,1,1,1,1,0,1,20251214,20251223
136_20251225,1,1,0,1,1,0,1,20251225,20251230
136_20260101,1,1,1,1,1,0,1,20260101,20261212
137_20251214,1,1,1,1,1,1,1,20251214,20251223
137_20251225,1,1,0,1,1,1,1,20251225,20251230
137_20260101,1,1,1,1,1,1,1,20260101,20261212
180_20251214,1,1,1,1,1,1,1,20251214,20251224
180_20251226,1,1,1,0,1,1,1,20251226,20251231
180_20260102,1,1,1,1,1,1,1,20260102,20261212
182_20251215,1,1,1,1,1,1,1,20251215,20251224
182_20251226,1,1,1,0,1,1,1,20251226,20251231
182_20260102,1,1,1,1,1,1,1,20260102,20261212
184_20251214,1,1,1,1,1,1,1,20251214,20251223
184_20251224,0,0,1,0,0,0,0,20251224,20251224
184_20251225,1,1,0,1,1,1,1,20251225,20251230
184_20251231,0,0,1,0,0,0,0,20251231,20251231
184_20260101,1,1,1,1,1,1,1,20260101,20261212
186_20251214,1,1,1,1,1,1,1,20251214,20251223
186_20251224,0,0,1,0,0,0,0,20251224,20251224
186_20251225,1,1,0,1,1,1,1,20251225,20251230
186_20251231,0,0,1,0,0,0,0,20251231,20251231
186_20260101,1,1,1,1,1,1,1,20260101,20261212
481_20251214,1,1,1,1,1,1,1,20251214,20251224
481_20251226,1,1,1,0,1,1,1,20251226,20251231
481_20260102,1,1,1,1,1,1,1,20260102,20261212
482_20251214,1,1,1,1,1,1,1,20251214,20251224
482_20251226,1,1,1,0,1,1,1,20251226,20251231
482_20260102,1,1,1,1,1,1,1,20260102,20261212
485_20251214,1,1,1,1,1,1,1,20251214,20261212
486_20251214,1,1,1,1,1,1,1,20251214,20261212
510_20251215,1,1,1,1,1,1,1,20251215,20251224
510_20251226,1,1,1,0,1,1,1,20251226,20251231
510_20260102,1,1,1,1,1,1,1,20260102,20261212
511_20251215,1,1,1,1,1,1,1,20251215,20251224
511_20251226,1,1,1,0,1,1,1,20251226,20251231
511_20260102,1,1,1,1,1,1,1,20260102,20261212
512_20251214,1,1,1,1,1,1,1,20251214,20261212
513_20251214,1,1,1,1,1,1,1,20251214,20261212
514_20251214,1,1,1,1,1,1,0,20251214,20251223
514_20251225,1,1,0,1,1,1,0,20251225,20251230
514_20260101,1,1,1,1,1,1,1,20260101,20261212
515_20251214,1,1,1,1,0,1,1,20251214,20251223
515_20251225,1,1,0,1,0,1,1,20251225,20251230
515_20260101,1,1,1,1,1,1,1,20260101,20261212
516_20251214,1,0,0,0,0,0,1,20251214,20261212
517_20251214,0,0,0,1,1,0,0,20251214,20261212
518_20251214,1,0,0,0,0,0,1,20251214,20261212
519_20251214,0,0,0,1,1,0,0,20251214,20261212
520_20251214,1,1,1,1,1,1,0,20251214,20251224
520_20251226,1,1,1,0,1,1,0,20251226,20251231
520_20260102,1,1,1,1,1,1,0,20260102,20261212
521_20251214,1,1,1,1,1,1,0,20251214,20251224
521_20251226,1,1,1,0,1,1,0,20251226,20251231
521_20260102,1,1,1,1,1,1,0,20260102,20261212
522_20251214,0,0,0,0,0,0,1,20251214,20261212
523_20251214,1,1,1,1,1,1,1,20251214,20261212
524_20251214,1,1,1,1,1,1,1,20251214,20261212
525_20251214,0,0,0,1,1,0,0,20251214,20261212
526_20251214,1,0,0,0,0,0,1,20251214,20261212
527_20251214,0,0,0,0,0,1,0,20251214,20261212
528_20251214,1,1,1,1,1,1,1,20251214,20251223
528_20251225,1,1,0,1,1,1,1,20251225,20251230
528_20260101,1,1,1,1,1,1,1,20260101,20261212
529_20251214,1,1,1,1,1,1,1,20251214,20251223
529_20251225,1,1,0,1,1,1,1,20251225,20251230
529_20260101,1,1,1,1,1,1,1,20260101,20261212
540_20251214,1,1,1,1,1,1,1,20251214,20251224
540_20251226,1,1,1,0,1,1,1,20251226,20251231
540_20260102,1,1,1,1,1,1,1,20260102,20261212
541_20251214,1,1,1,1,1,1,1,20251214,20251224
541_20251226,1,1,1,0,1,1,1,20251226,20251231
541_20260102,1,1,1,1,1,1,1,20260102,20261212
542_20251214,1,1,1,1,1,1,1,20251214,20261212
543_20251214,1,1,1,1,1,1,1,20251214,20261212
544_20251214,1,1,1,1,1,1,1,20251214,20251223
544_20251225,1,1,0,1,1,1,1,20251225,20251230
544_20260101,1,1,1,1,1,1,1,20260101,20261212
545_20251214,1,1,1,1,1,1,1,20251214,20251223
545_20251225,1,1,0,1,1,1,1,20251225,20251230
545_20260101,1,1,1,1,1,1,1,20260101,20261212
570_20251214,1,1,1,1,1,1,1,20251214,20261212
572_20251214,1,1,1,1,1,1,1,20251214,20261212
574_20251214,1,1,1,1,1,1,1,20251214,20251223
574_20251225,1,1,0,1,1,1,1,20251225,20251230
574_20260101,1,1,1,1,1,1,1,20260101,20261212
580_20251214,1,1,1,1,1,1,1,20251214,20261212
581_20251214,1,1,1,1,1,0,0,20251214,20261212
582_20251214,1,1,1,1,1,0,0,20251214,20261212
583_20251214,1,1,1,1,1,0,0,20251214,20261212
584_20251214,1,1,1,1,1,1,1,20251214,20261212
585_20251214,1,1,1,1,1,1,1,20251214,20261212
587_20251214,1,1,1,1,1,1,1,20251214,20261212
588_20251214,1,1,1,1,1,1,1,20251214,20251223
588_20251225,1,1,0,1,1,1,1,20251225,20251230
588_20260101,1,1,1,1,1,1,1,20260101,20261212
590_20251214,1,1,1,1,1,0,0,20251214,20261212
592_20251214,1,1,1,1,1,0,0,20251214,20261212
594_20251214,1,1,1,1,1,1,1,20251214,20261212
596_20251214,1,1,1,1,1,1,1,20251214,20261212
598_20251214,1,1,1,1,1,1,1,20251214,20251223
598_20251225,1,1,0,1,1,1,1,20251225,20251230
598_20260101,1,1,1,1,1,1,1,20260101,20261212
620_20251214,1,1,1,1,1,1,1,20251214,20261212
621_20251214,1,1,1,1,1,1,1,20251214,20261212
670_20251215,1,1,1,1,1,1,1,20251215,20261212
672_20251214,1,1,1,1,1,1,1,20251214,20261212
674_20251214,1,1,1,1,1,1,1,20251214,20251223
674_20251225,1,1,0,1,1,1,1,20251225,20251230
674_20260101,1,1,1,1,1,1,1,20260101,20261212
680_20251214,1,1,1,1,1,0,0,20251214,20261212
682_20251214,1,1,1,1,1,0,0,20251214,20261212
684_20251214,1,1,1,1,1,0,0,20251214,20261212
686_20251214,1,1,1,1,1,0,0,20251214,20261212
688_20251214,1,1,1,1,1,1,1,20251214,20251223
688_20251225,1,1,0,1,1,1,1,20251225,20251230
688_20260101,1,1,1,1,1,1,1,20260101,20261212
690_20251214,1,1,1,1,1,0,0,20251214,20261212
692_20251214,1,1,1,1,1,1,1,20251214,20261212
694_20251214,1,1,1,1,1,1,1,20251214,20261212
696_20251214,1,1,1,1,1,1,1,20251214,20251223
696_20251225,1,1,0,1,1,1,1,20251225,20251230
696_20260101,1,1,1,1,1,1,1,20260101,20261212
698_20251214,1,1,1,1,1,0,0,20251214,20261212
720_20251214,1,1,1,1,1,1,1,20251214,20261212
721_20251214,1,1,1,1,1,1,1,20251214,20261212
722_20251214,1,1,1,1,1,1,1,20251214,20261212
723_20251214,1,1,1,1,1,1,1,20251214,20261212
730_20251214,1,1,1,1,1,1,0,20251214,20251224
730_20251225,0,0,0,1,0,0,0,20251225,20251225
730_20251226,1,1,1,0,1,1,0,20251226,20251231
730_20260101,0,0,0,1,0,0,0,20260101,20260101
730_20260102,1,1,1,1,1,1,0,20260102,20261212
731_20251214,1,1,1,1,1,0,1,20251214,20251223
731_20251224,0,0,1,0,0,0,0,20251224,20251224
731_20251225,1,1,0,1,1,0,1,20251225,20251230
731_20251231,0,0,1,0,0,0,0,20251231,20251231
731_20260101,1,1,1,1,1,0,1,20260101,20261212
790_20251214,1,1,1,1,1,0,0,20251214,20261212
800_20251214,1,1,1,1,1,1,1,20251214,20261212
801_20251214,1,1,1,1,1,1,0,20251214,20251224
801_20251226,1,1,1,0,1,1,0,20251226,20251231
801_20260102,1,1,1,1,1,1,0,20260102,20261212
802_20251214,1,1,1,1,1,1,1,20251214,20261212
803_20251214,1,1,1,1,1,1,1,20251214,20261212
804_20251214,1,1,1,1,1,0,1,20251214,20251223
804_20251225,1,1,0,1,1,0,1,20251225,20251230
804_20260101,1,1,1,1,1,0,1,20260101,20261212
805_20251214,1,1,1,1,1,1,1,20251214,20261212
